Date,Open,High,Low,Close,Volume
2018-10-11,152.57,155.02,152.32,154.0,7562936
2018-10-12,148.7,149.08,147.91,148.56,5420313
2018-10-15,149.69,150.0,148.05,148.56,7744649
2018-10-16,146.19,146.88,145.82,146.46,3479750
2018-10-17,143.57,143.84,143.12,143.42,5313801
2018-10-18,141.89,142.76,140.63,141.31,2669917
2018-10-19,140.53,141.08,140.06,140.62,3650460
2018-10-22,142.79,143.16,142.43,143.13,2222590
2018-10-23,138.65,139.98,138.18,139.92,6832676
2018-10-24,140.54,141.14,139.25,140.18,2288326
2018-10-25,139.09,140.01,138.35,139.15,2433039
2018-10-26,137.95,139.36,137.47,138.52,4246656
2018-10-29,141.29,141.68,139.83,141.22,4005746
2018-10-30,142.43,143.89,141.68,142.76,3196868
2018-10-31,146.08,147.45,145.77,146.39,3499121
2018-11-01,146.47,148.43,145.86,146.12,3065177
2018-11-02,143.63,145.27,143.49,144.4,7388899
2018-11-05,144.49,145.73,141.52,143.89,5062614
2018-11-06,143.76,144.64,142.97,144.56,7438441
2018-11-07,144.65,146.48,144.61,145.04,7907691
2018-11-08,143.31,144.9,141.92,142.22,5556201
2018-11-09,143.06,143.28,142.21,142.42,6779650
2018-11-12,143.0,143.51,141.98,142.95,1775180
2018-11-13,148.94,150.33,148.65,149.5,7645915
2018-11-14,154.23,154.62,153.26,154.56,4375349
2018-11-15,152.17,152.73,151.83,152.13,5994043
2018-11-16,151.29,152.61,150.97,151.27,2717298
2018-11-19,147.21,147.66,147.08,147.27,1668508
2018-11-20,145.64,146.97,145.38,145.65,7194409
2018-11-21,146.31,147.38,144.35,146.44,4146139
2018-11-22,148.76,150.4,146.76,149.62,1968819
2018-11-23,147.34,148.07,147.0,147.64,5609335
2018-11-26,146.43,146.91,145.89,145.9,1380171
2018-11-27,139.58,141.28,138.93,140.35,4153312
2018-11-28,139.82,140.55,139.07,139.93,5931003
2018-11-29,136.81,138.01,136.14,137.26,6042945
2018-11-30,135.99,136.93,135.89,135.93,4173002
2018-12-03,133.56,134.66,133.34,133.77,3589747
2018-12-04,134.28,134.97,133.4,133.49,6868554
2018-12-05,129.54,129.75,129.2,129.28,2293156
2018-12-06,125.19,126.05,125.13,125.85,1522407
2018-12-07,131.05,131.43,130.55,130.7,2097899
2018-12-10,127.25,127.9,127.05,127.64,6607532
2018-12-11,124.79,125.72,124.23,125.08,4289321
2018-12-12,129.4,130.44,128.28,129.23,1261343
2018-12-13,135.86,136.84,135.0,136.13,2181431
2018-12-14,133.74,133.89,131.86,133.26,1196490
2018-12-17,131.97,133.29,131.29,132.38,6700995
2018-12-18,132.89,133.26,132.69,133.22,4229210
2018-12-19,137.13,138.65,136.71,137.49,1476434
2018-12-20,134.84,135.93,133.69,135.15,2549039
2018-12-21,135.26,135.56,133.22,134.66,5315185
2018-12-24,137.04,137.32,136.2,136.69,5156030
2018-12-25,138.87,139.41,137.78,137.92,6735010
2018-12-26,138.4,139.77,136.46,137.16,1180718
2018-12-27,136.44,137.73,135.64,137.01,1485798
2018-12-28,133.87,134.15,133.4,133.84,1247726
2018-12-31,132.81,133.53,132.67,133.44,3758458
2019-01-01,132.56,133.84,130.28,132.97,6090039
2019-01-02,133.35,133.96,133.11,133.69,5641030
2019-01-03,131.95,133.79,130.68,132.51,2471156
2019-01-04,133.22,134.18,132.26,133.78,5600672
2019-01-07,136.3,136.7,136.0,136.38,5594919
2019-01-08,136.22,139.15,135.42,136.89,2339719
2019-01-09,138.35,138.38,137.01,137.89,6249455
2019-01-10,137.63,138.4,136.4,138.14,3956039
2019-01-11,139.82,140.51,136.94,138.27,1415318
2019-01-14,136.37,137.5,136.21,136.62,3734065
2019-01-15,137.58,137.85,135.35,137.54,6388277
2019-01-16,136.74,137.6,136.46,137.45,5873482
2019-01-17,143.87,144.2,142.33,142.9,2878948
2019-01-18,147.84,149.54,146.97,147.18,6298314
2019-01-21,148.58,149.59,147.77,148.4,3726821
2019-01-22,145.78,147.42,145.04,146.57,4221685
2019-01-23,143.98,145.8,142.73,143.86,1606474
2019-01-24,146.5,147.84,146.44,147.16,7979466
2019-01-25,148.9,149.25,148.0,148.03,6870409
2019-01-28,149.96,151.53,149.16,149.47,2364499
2019-01-29,145.04,145.71,143.92,144.98,4925101
2019-01-30,146.09,148.02,145.34,147.53,6462505
2019-01-31,148.23,149.98,147.95,148.81,4532656
2019-02-01,146.31,146.96,145.85,145.91,2475599
2019-02-04,145.39,146.28,143.34,144.69,7779883
2019-02-05,146.01,147.2,144.22,145.37,2881656
2019-02-06,144.54,146.4,144.53,145.47,3341540
2019-02-07,144.82,145.18,142.93,144.65,3601373
2019-02-08,144.9,145.79,143.81,144.31,7235455
2019-02-11,142.63,143.77,141.16,143.59,4500091
2019-02-12,143.9,144.14,141.22,143.91,6037815
2019-02-13,147.86,148.29,147.04,147.69,7308480
2019-02-14,140.79,141.43,140.71,140.96,7499696
2019-02-15,139.27,140.8,138.32,140.31,6995019
2019-02-18,140.53,141.24,139.79,140.71,7354614
2019-02-19,141.25,141.81,140.95,141.43,7637578
2019-02-20,140.38,140.52,139.67,140.47,7937208
2019-02-21,135.77,136.44,135.41,136.08,5501653
2019-02-22,136.63,136.99,136.28,136.87,1921737
2019-02-25,141.15,141.64,141.13,141.18,1793196
2019-02-26,137.56,139.26,136.87,137.31,6572114
2019-02-27,139.27,140.22,139.26,139.44,3212997
2019-02-28,138.35,139.39,137.54,138.58,6631460
2019-03-01,138.43,141.0,138.0,138.38,7543150
2019-03-04,134.68,136.14,133.61,135.72,5510614
2019-03-05,135.1,135.5,133.25,134.85,6350098
2019-03-06,137.97,138.55,137.47,137.97,2952026
2019-03-07,139.37,140.21,138.87,139.35,4041767
2019-03-08,144.24,144.63,143.63,143.69,7756037
2019-03-11,145.56,147.15,145.5,146.71,6717969
2019-03-12,146.65,148.4,146.31,147.82,2430954
2019-03-13,152.68,152.84,152.49,152.51,7554252
2019-03-14,153.71,153.85,153.68,153.72,4497027
2019-03-15,156.16,157.18,155.89,156.06,6907074
2019-03-18,155.0,156.09,152.81,155.29,4650409
2019-03-19,155.98,156.13,153.81,155.57,5227256
2019-03-20,154.32,154.94,153.61,153.75,2132805
2019-03-21,156.97,158.04,156.12,156.67,3370650
2019-03-22,153.39,154.26,152.12,153.55,6057701
2019-03-25,154.61,157.42,154.17,155.92,6896750
2019-03-26,156.07,156.36,154.96,155.59,1622070
2019-03-27,159.89,160.05,157.71,159.11,1538051
2019-03-28,161.91,162.66,160.92,161.49,5851684
2019-03-29,166.5,168.0,165.74,167.08,4129666
2019-04-01,169.96,170.25,168.84,169.5,6940308
2019-04-02,165.53,166.11,164.51,164.96,1477542
2019-04-03,165.97,166.03,164.7,164.94,3445774
2019-04-04,161.09,162.31,159.85,161.66,1248083
2019-04-05,160.16,160.56,158.34,160.31,5965945
2019-04-08,165.37,165.39,163.57,164.88,7004969
2019-04-09,166.97,167.0,164.98,166.93,2097418
2019-04-10,164.26,166.86,163.18,164.99,3267794
2019-04-11,162.44,162.82,161.38,162.17,6921643
2019-04-12,162.81,162.86,160.86,162.43,1290014
2019-04-15,159.14,159.41,158.39,159.09,7664221
2019-04-16,157.5,157.73,155.46,157.36,7208928
2019-04-17,158.28,158.91,157.31,158.45,2068855
2019-04-18,162.94,164.0,160.82,161.99,1972511
2019-04-19,163.4,165.59,163.0,163.99,5843016
2019-04-22,157.2,157.9,157.02,157.57,1070677
2019-04-23,158.64,159.37,157.68,158.64,4540817
2019-04-24,159.59,161.2,157.56,159.03,1461426
2019-04-25,159.43,161.14,158.34,160.39,4720495
2019-04-26,164.4,166.73,164.36,165.27,3451392
2019-04-29,158.06,159.58,157.23,159.36,5945428
2019-04-30,157.77,158.01,156.9,157.75,7164954
2019-05-01,158.77,159.65,158.17,159.48,4421183
2019-05-02,154.78,155.52,154.1,155.02,5492383
2019-05-03,159.6,160.48,159.16,159.18,5202284
2019-05-06,159.79,160.26,159.48,160.2,7894484
2019-05-07,162.75,163.16,162.4,162.6,2616307
2019-05-08,160.67,161.66,158.7,160.86,2672549
2019-05-09,163.59,164.38,161.42,163.15,3649546
2019-05-10,166.55,166.89,166.0,166.23,6156849
2019-05-13,166.38,169.55,165.17,166.84,7056682
2019-05-14,167.36,168.1,165.89,167.47,2946529
2019-05-15,168.93,169.46,167.58,168.23,1769317
2019-05-16,165.84,166.86,165.06,165.58,5260551
2019-05-17,164.18,165.27,163.96,165.11,5183026
2019-05-20,165.06,165.11,163.05,164.63,3623392
2019-05-21,165.03,167.99,164.44,165.75,2290009
2019-05-22,169.69,169.91,168.07,168.74,6949107
2019-05-23,166.22,167.14,165.03,165.54,6925777
2019-05-24,165.33,165.82,164.28,165.14,6232709
2019-05-27,169.68,170.98,169.48,169.57,5053307
2019-05-28,167.13,167.3,166.23,167.27,2829984
2019-05-29,165.21,165.49,164.43,164.76,3821341
2019-05-30,165.05,165.59,162.91,165.29,1479017
2019-05-31,167.9,168.03,167.65,167.74,2748772
2019-06-03,168.28,168.53,166.5,167.69,4153063
2019-06-04,171.28,173.24,171.09,171.66,4057912
2019-06-05,173.81,175.79,172.4,174.24,1562633
2019-06-06,175.98,177.45,174.72,176.83,7703286
2019-06-07,177.78,178.55,176.67,178.54,2877672
2019-06-10,184.79,186.83,184.29,186.15,4564465
2019-06-11,186.0,186.7,184.42,185.46,4256786
2019-06-12,180.22,180.52,178.31,178.93,4286426
2019-06-13,185.29,186.37,183.66,184.24,6915216
2019-06-14,181.65,183.15,180.45,182.84,6223916
2019-06-17,183.88,184.12,182.75,183.34,7073446
2019-06-18,188.97,189.34,187.59,187.9,3653329
2019-06-19,182.43,184.82,181.74,182.76,2856076
2019-06-20,178.98,179.7,178.61,178.91,3991967
2019-06-21,172.66,174.13,172.2,174.05,4930435
2019-06-24,172.0,172.43,171.45,171.81,3358634
2019-06-25,172.67,173.43,172.43,173.41,4220405
2019-06-26,175.41,175.94,173.6,175.27,2056438
2019-06-27,175.26,178.0,175.08,176.36,5086905
2019-06-28,172.5,173.03,170.91,172.13,5996664
2019-07-01,165.97,167.04,164.74,165.29,4690097
2019-07-02,165.1,167.34,163.65,165.62,7111216
2019-07-03,163.63,165.16,162.54,164.37,7969744
2019-07-04,164.46,166.93,163.64,165.89,7339148
2019-07-05,167.97,168.74,167.11,168.15,1650846
2019-07-08,168.33,169.33,168.24,168.72,7165620
2019-07-09,170.15,172.14,169.52,171.21,3335933
2019-07-10,172.41,172.68,170.8,172.1,4162486
2019-07-11,173.63,175.88,173.31,173.94,3883850
2019-07-12,171.21,172.46,170.75,171.95,2988463
2019-07-15,171.23,172.02,169.09,171.61,7140608
2019-07-16,173.18,174.04,172.37,172.44,5465466
2019-07-17,175.66,176.41,175.21,175.24,7768770
2019-07-18,174.14,175.33,173.95,174.23,7682934
2019-07-19,176.53,178.14,173.87,176.1,3938328
2019-07-22,174.65,176.78,173.35,175.46,6089354
2019-07-23,175.3,176.05,174.45,175.28,4516550
2019-07-24,178.18,179.96,177.05,178.07,4463939
2019-07-25,171.6,172.43,171.07,171.92,6177475
2019-07-26,168.33,168.37,167.94,168.04,5821660
2019-07-29,163.15,165.82,162.39,163.66,7382223
2019-07-30,157.27,159.17,156.47,156.95,6407765
2019-07-31,155.37,155.49,154.69,155.03,5354990
2019-08-01,155.26,157.43,154.25,157.09,7434884
2019-08-02,156.97,158.01,155.11,156.23,1716690
2019-08-05,154.8,156.77,154.71,156.71,6342510
2019-08-06,159.34,159.84,157.69,159.73,3745981
2019-08-07,164.18,165.11,163.46,163.51,4032333
2019-08-08,163.02,163.36,162.74,163.23,6471723
2019-08-09,166.2,168.41,165.23,167.18,2915245
2019-08-12,166.66,167.4,166.32,167.39,7185421
2019-08-13,165.51,165.63,164.02,164.84,4499171
2019-08-14,161.79,164.09,161.61,163.05,3443007
2019-08-15,159.45,160.38,157.48,158.73,3297245
2019-08-16,156.16,158.83,154.83,156.2,3946453
2019-08-19,154.44,155.53,153.4,155.18,7599352
2019-08-20,157.05,157.78,155.93,157.42,1718505
2019-08-21,161.69,162.86,161.38,162.35,4555760
2019-08-22,158.88,160.67,156.91,158.33,6845031
2019-08-23,159.88,160.64,158.4,159.41,4304394
2019-08-26,155.32,157.91,154.69,156.4,4962124
2019-08-27,157.42,159.0,156.56,157.68,3437373
2019-08-28,156.69,157.55,155.06,157.23,1953489
2019-08-29,152.84,152.94,151.56,152.05,5475848
2019-08-30,153.7,155.72,153.34,154.53,7439685
2019-09-02,153.77,154.25,152.17,152.78,4640358
2019-09-03,151.24,151.85,151.01,151.26,4024262
2019-09-04,147.64,148.42,146.16,148.33,1903342
2019-09-05,146.17,146.81,145.55,146.56,7613104
2019-09-06,147.22,149.4,146.38,147.7,7084454
2019-09-09,146.47,148.97,146.15,147.22,7313663
2019-09-10,148.21,148.25,147.69,148.15,3513089
2019-09-11,148.48,149.27,148.25,149.21,5377093
2019-09-12,151.59,153.27,150.9,152.93,4028049
2019-09-13,151.9,153.14,151.76,152.13,2642559
2019-09-16,147.24,148.6,145.57,148.31,2439669
2019-09-17,150.92,151.75,149.66,151.37,3686967
2019-09-18,150.12,151.55,149.8,150.67,4873787
2019-09-19,153.39,154.42,153.36,153.92,1854015
2019-09-20,156.44,156.47,154.41,155.19,5914385
2019-09-23,155.06,156.53,153.98,155.03,4204353
2019-09-24,156.35,157.01,155.41,156.19,7168157
2019-09-25,160.81,163.85,160.73,161.96,2951552
2019-09-26,167.87,169.04,166.03,168.31,1361253
2019-09-27,168.83,170.31,167.55,168.69,3184387
2019-09-30,168.64,170.19,166.55,169.33,7813323
2019-10-01,173.43,173.68,172.72,172.8,3253982
2019-10-02,169.52,171.31,167.36,170.34,5926724
2019-10-03,171.33,171.76,170.7,171.53,6903045
2019-10-04,171.21,172.41,170.28,171.61,2990090
2019-10-07,172.88,172.98,172.07,172.76,5498175
2019-10-08,169.94,171.82,169.3,170.38,2431323
2019-10-09,165.59,167.08,165.33,165.77,3535445
2019-10-10,159.74,161.22,159.28,159.9,3072615
2019-10-11,156.45,157.38,155.84,156.92,5706716
2019-10-14,156.13,158.07,155.71,155.83,7130080
2019-10-15,155.36,156.63,154.83,155.22,2766680
2019-10-16,160.87,162.76,159.8,160.93,3039731
2019-10-17,164.07,165.76,163.75,164.36,6746602
2019-10-18,162.22,163.13,161.38,161.71,4239747
2019-10-21,162.71,164.38,162.54,162.87,4591442
2019-10-22,161.59,162.09,160.22,161.79,5940166
2019-10-23,161.11,162.17,160.09,161.05,1963098
2019-10-24,162.73,163.27,158.98,161.63,7103929
2019-10-25,162.58,164.74,162.15,163.46,3556567
2019-10-28,162.95,163.55,161.84,162.45,5609998
2019-10-29,164.29,167.67,164.15,165.55,4025272
2019-10-30,162.26,162.48,161.57,162.12,6271764
2019-10-31,163.08,164.19,160.96,162.06,5281082
2019-11-01,170.06,170.08,169.01,169.73,2213287
2019-11-04,170.44,170.95,169.72,170.32,2314910
2019-11-05,174.3,175.62,174.09,174.69,7141854
2019-11-06,174.92,175.94,173.1,174.9,4637232
2019-11-07,176.49,178.06,174.48,176.67,2930034
2019-11-08,175.88,177.36,174.36,176.43,2002806
2019-11-11,175.65,176.99,175.21,175.85,1898647
2019-11-12,173.51,174.28,172.97,173.38,7439323
2019-11-13,174.17,174.98,173.88,174.7,7833710
2019-11-14,171.47,172.12,170.96,172.03,3754498
2019-11-15,173.14,174.33,172.28,174.08,2411479
2019-11-18,177.77,179.06,175.83,177.49,3932159
2019-11-19,179.02,180.05,178.56,178.63,1956563
2019-11-20,177.83,178.13,177.07,177.67,4847596
2019-11-21,179.75,180.02,178.34,179.06,5382146
2019-11-22,178.06,179.6,177.54,178.0,7897017
2019-11-25,181.22,181.26,179.76,180.93,3232042
2019-11-26,175.19,176.24,174.62,174.98,2384689
2019-11-27,173.77,174.96,172.95,173.83,1933444
2019-11-28,167.27,167.86,167.22,167.63,3640192
2019-11-29,164.55,165.14,162.23,163.11,5207847
2019-12-02,166.81,167.35,166.55,167.11,1466415
2019-12-03,169.34,171.14,169.04,169.79,6312896
2019-12-04,167.9,168.54,166.91,167.61,4220752
2019-12-05,163.33,164.5,162.75,163.17,6552388
2019-12-06,153.88,154.9,153.66,154.75,4245247
2019-12-09,154.02,155.55,151.87,153.34,2088588
2019-12-10,160.23,160.47,158.64,160.29,1150236
2019-12-11,160.99,162.14,160.58,161.71,4898069
2019-12-12,161.03,161.56,159.49,160.27,4776074
2019-12-13,162.22,163.23,161.52,161.82,6695748
2019-12-16,156.74,158.02,156.01,157.54,7140780
2019-12-17,158.02,159.34,155.71,156.9,2127609
2019-12-18,157.81,158.4,156.06,157.39,3202809
2019-12-19,157.34,158.36,155.76,157.35,2453775
2019-12-20,160.82,161.16,159.46,159.8,1746998
2019-12-23,161.08,161.37,160.57,160.98,1016879
2019-12-24,163.08,163.54,162.17,163.1,1576182
